id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
1,กระจงควาย,Greater Mouse-deer,Tragulus napu,Artiodactyla,Tragulidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",ขนาดใหญ่กว่ากระจงเล็ก คอมีแถบขาว 5 แถบ พบในป่าภาคใต้ของไทย
2,กระจงเล็ก,Lesser Mouse-deer,Tragulus kanchil,Artiodactyla,Tragulidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์อุบลราชธานี",สัตว์กีบขนาดเล็กที่สุดในโลก ลำตัวยาวเพียง 45 ซม. ไม่มีเขา แต่ตัวผู้มีเขี้ยวยื่นออกมา
3,กระต่ายแคระฮอลแลนด์ลอป,Holland Lop Rabbit,Oryctolagus cuniculus,Lagomorpha,Leporidae,สัตว์เลี้ยง / สัตว์ฟันแทะ,สัตว์ต่างถิ่นนำเข้า (Exotic),Domesticated (เลี้ยง),"สวนสัตว์เปิดเขาเขียว (โซนสัมผัสสัตว์), ซาฟารีเวิลด์",กระต่ายหูตกขนาดกะทัดรัด นิสัยเชื่อง เป็นมิตร ขวัญใจเด็กๆ ในโซน Mini Zoo ของสวนสัตว์ไทย
4,กระต่ายป่าไทย / กระต่ายป่าพม่า,Burmese Hare (Siamese Hare),Lepus peguensis,Lagomorpha,Leporidae,สัตว์ฟันแทะและสัตว์เลี้ยงลูกด้วยนมโบราณ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",กระต่ายป่าพื้นเมืองของไทย ขายาว วิ่งและกระโดดได้เร็วมาก ปลายหูมีแต้มดำ อาศัยตามป่าโปร่งและไร่นา
5,กระแตใต้,Common Treeshrew,Tupaia glis,Scandentia,Tupaiidae,สัตว์ฟันแทะและสัตว์เลี้ยงลูกด้วยนมโบราณ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",มีแถบสีส้มอ่อนที่หัวไหล่ ขนสีน้ำตาลอมแดง วิ่งว่องไวหากินตามพื้นดินและโคนไม้ในป่าภาคใต้
6,กระแตหางขนนก,Feather-tailed Treeshrew,Ptilocercus lowii,Scandentia,Ptilocercidae,สัตว์ฟันแทะและสัตว์เลี้ยงลูกด้วยนมโบราณ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, ป่าบาลาฮาลา ยะลา",กระแตหากินกลางคืนชนิดเดียว ปลายหางมีขนแผ่ออกสองข้างคล้ายขนนก กินน้ำหวานหมักแอลกอฮอล์จากดอกปาล์ม
7,กระแตเหนือ,Northern Treeshrew,Tupaia belangeri,Scandentia,Tupaiidae,สัตว์ฟันแทะและสัตว์เลี้ยงลูกด้วยนมโบราณ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",รูปร่างคล้ายกระรอกแต่ปากแหลมยาว ตาอยู่ด้านข้าง สายวิวัฒนาการใกล้ชิดกับลิง กินแมลงและผลไม้เป็นอาหาร
8,กระทิง,Gaur,Bos gaurus,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น, สวนสัตว์เชียงใหม่",วัวป่าขนาดใหญ่ที่สุดในโลก ขาสี่ข้างสวมถุงเท้าสีขาว ป่าทับลานและเขาแผงม้ามีประชากรมาก
9,กระรอกท้องแดง,Pallas's Squirrel (Red-bellied Squirrel),Callosciurus erythraeus,Rodentia,Sciuridae,สัตว์ฟันแทะ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เชียงใหม่, ดอยสุเทพ, ดอยอินทนนท์",ขนใต้ท้องสีแดงสดอมส้ม หลังสีเขียวมะกอกปนเทา ว่องไว ร้องเสียงแหลมสั้น พบบ่อยตามป่าภูเขาภาคเหนือ
10,กระรอกบินแก้มบาน,Indochinese Flying Squirrel,Hylopetes phayrei,Rodentia,Sciuridae,สัตว์ฟันแทะ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่",กระรอกบินขนาดกลาง แก้มป่องมีขนพองฟู พังผืดข้างลำตัวช่วยร่อนข้ามกิ่งไม้ยามค่ำคืน กินผลไม้และเมล็ดพืช
