id,thai_name,english_name,scientific_name,class,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
1,ปลากดคัง,Asian Redtail Catfish,Hemibagrus wyckioides,Actinopterygii,Siluriformes,Bagridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำหนองคาย",ปลากดขนาดใหญ่ที่สุดในเอเชีย ครีบหางสีแดงสด หนวดยาว กัดเหยื่อรุนแรงและหวงถิ่น
2,ปลากระทิงไฟ,Fire Eel,Mastacembelus erythrotaenia,Actinopterygii,Synbranchiformes,Mastacembelidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบึงฉวาก",ลำตัวเรียวยาวคล้ายปลาไหล สีดำสนิทพาดด้วยลวดลายแถบสีแดงเพลิงสดใส ปลายจมูกยื่นยาว
3,ปลากระเบนทอง / กระเบนจุดฟ้า,Blue-spotted Ribbontail Ray,Taeniura lymma,Chondrichthyes,Myliobatiformes,Dasyatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),ST (มีความเสี่ยง),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ลำตัวทรงกลมรี สีเขียวอมเทาแต้มจุดสีฟ้าส่องประกายสดใส โคนหางมีเงี่ยงพิษสองอัน
4,ปลากระเบนธงลายรังผึ้ง,Honeycomb Stingray,Himantura uarnak,Chondrichthyes,Myliobatiformes,Dasyatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ลวดลายจุดร่างแหละเอียดคล้ายรังผึ้งหรือลายเสือดาวทั่วทั้งแผ่นหลัง หางยาวเรียวคล้ายแส้
5,ปลากระเบนนกจุดขาว,Spotted Eagle Ray,Aetobatus narinari,Chondrichthyes,Myliobatiformes,Aetobatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",หัวคล้ายจะงอยปากนก ด้านหลังสีดำลายจุดขาว ว่ายร่อนคล้ายนกบินในอุโมงค์ใต้น้ำลึก
6,ปลากระเบนแบล็กไดมอนด์,Black Diamond Stingray,Potamotrygon leopoldi (Variant),Chondrichthyes,Myliobatiformes,Potamotrygonidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, ซาฟารีเวิลด์",สีดำสนิทแต้มจุดสีขาวบริสุทธิ์ส่องประกายคล้ายเพชร ปลากระเบนน้ำจืดราคาสูงและยอดนิยม
7,ปลากระเบนโมโตโร่,Ocellate River Stingray (Motoro),Potamotrygon motoro,Chondrichthyes,Myliobatiformes,Potamotrygonidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),DD / มีการเพาะพันธุ์,"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว",ปลากระเบนน้ำจืดจากแอมะซอน ลวดลายจุดวงแหวนสีส้มขอบดำสวยงามบนพื้นสีน้ำตาล
8,ปลากระเบนราหูน้ำจืด / ปลากระเบนเจ้าพระยา,Giant Freshwater Stingray,Urogymnus polylepis,Chondrichthyes,Myliobatiformes,Dasyatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำสมุทรปราการ, ลุ่มน้ำแม่กลอง",ปลากระดูกอ่อนน้ำจืดขนาดใหญ่ที่สุดในโลก ลำตัวกว้างได้กว่า 2 เมตร โคนหางมีเงี่ยงพิษยาวแหลมคม
9,ปลากระโห้,Giant Barb,Catlocarpio siamensis,Actinopterygii,Cypriniformes,Cyprinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"Chiang Mai Zoo Aquarium, สวนสัตว์นครราชสีมา, พิพิธภัณฑ์สัตว์น้ำบึงฉวาก",ปลาน้ำจืดมีเกล็ดขนาดใหญ่ที่สุดในโลก หัวโต เกล็ดสีดำเงา ปากกว้างดูดกินพืชและแพลงก์ตอน
10,ปลากราย / ปลากรายจุด,Clown Knifefish,Chitala ornata,Actinopterygii,Osteoglossiformes,Notopteridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว, บึงบอระเพ็ด",ลำตัวแบนด้านข้าง ครีบก้นยาวพริ้วไหวตลอดแนว เหนือโคนหางมีจุดกลมสีดำขอบขาวเรียงเป็นแถว
11,ปลากะพงขาว / ปลากะพงยักษ์,Barramundi (Asian Seabass),Lates calcarifer,Actinopterygii,Perciformes,Latidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สวนสัตว์สงขลา, พิพิธภัณฑ์สัตว์น้ำบางแสน",ปลาเศรษฐกิจและปลาตู้ขนาดใหญ่ ลำตัวสีเงินแวววาว ว่ายทวนน้ำได้ทั้งในน้ำจืด น้ำกร่อย และน้ำเค็ม
12,ปลาการ์ตูนมะเขือเทศ,Tomato Clownfish,Amphiprion frenatus,Actinopterygii,Perciformes,Pomacentridae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า / แปซิฟิก,LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",สีแดงสดใสคล้ายผลมะเขือเทศสุก มีแถบขาวพาดหลังตาเพียงแถบเดียว ลำตัวค่อนข้างกลมหนา
13,ปลาการ์ตูนลายปล้อง,Clark's Anemonefish,Amphiprion clarkii,Actinopterygii,Perciformes,Pomacentridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์สงขลา",มีแถบสีขาวสามแถบพาดผ่านลำตัว หางสีขาวหรือเหลือง ปรับตัวอาศัยกับดอกไม้ทะเลได้เกือบทุกชนิด
