id,thai_name,english_name,scientific_name,class,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
1,กบตาหนามฮอร์นฟร็อก / กบแพ็กแมน,South American Horned Frog (Pacman),Ceratophrys cranwelli,Amphibia,Anura,Ceratophryidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ปากกว้างมากกลืนเหยื่อได้เกือบเท่าตัว เหนือตามีติ่งแหลมคล้ายเขา
2,กบทูด / กบภูเขาเบตง,Blyth's Giant Frog,Limnonectes blythii,Amphibia,Anura,Dicroglossidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์สงขลา, สถานีวิจัยสัตว์ป่าเขานัน นครศรีธรรมราช",กบพื้นเมืองขนาดใหญ่ที่สุดในไทย อาศัยตามลำธารต้นน้ำป่าดิบชื้นภาคใต้
3,กบลูกศรพิษสีน้ำเงิน,Blue Poison Dart Frog,Dendrobates tinctorius azureus,Amphibia,Anura,Dendrobatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว (โซนสัตว์แปลก), ซาฟารีเวิลด์",กบสีน้ำเงินลายจุดดำ สัตว์มีพิษร้ายแรงจากป่าอเมริกาใต้ แต่ในกรงเลี้ยงไร้พิษเพราะอาหารเปลี่ยน
4,กระจงเล็ก,Lesser Mouse-deer,Tragulus kanchil,Mammalia,Artiodactyla,Tragulidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์อุบลราชธานี",สัตว์กีบขนาดเล็กที่สุดในโลก ไม่มีเขา แต่ตัวผู้มีเขี้ยวยื่นยาว
5,กระทิง,Gaur,Bos gaurus,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น, สวนสัตว์เชียงใหม่",วัวป่าขนาดใหญ่ที่สุดในโลก ขาสี่ข้างสวมถุงเท้าสีขาว
6,กวางดาว,Chital / Spotted Deer,Axis axis,Mammalia,Artiodactyla,Cervidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",กวางจุดขาวตลอดชีวิตจากอินเดีย เชื่องและคุ้นเคยกับนักท่องเที่ยว
7,กวางป่า / กวางม้า,Sambar Deer,Rusa unicolor,Mammalia,Artiodactyla,Cervidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",กวางพื้นเมืองขนาดใหญ่ที่สุดในเอเชียตะวันออกเฉียงใต้
8,กวางผาจีน,Chinese Goral,Naemorhedus griseus,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เชียงใหม่, ดอยม่อนจอง, สถานีเพาะเลี้ยงสัตว์ป่าอมก๋อย",สัตว์ป่าสงวนของไทย ฉายา 'ม้าเทวดา' อาศัยตามยอดเขาสูงชัน
9,กะท่างน้ำดอยช้าง / กะท่างน้ำเหนือ,Himalayan Newt (Chiang Mai Newt),Tylototriton verrucosus / uyenoi,Amphibia,Caudata,Salamandridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC / หายากในไทย,"สวนสัตว์เชียงใหม่, ดอยอินทนนท์, ดอยสุเทพ-ปุย",สัตว์สะเทินน้ำสะเทินบกมีหาง (ซาลาแมนเดอร์) สายพันธุ์เดียวที่พบในประเทศไทย
10,กิ้งก่าเบียร์ดดราก้อน,Bearded Dragon,Pogona vitticeps,Reptilia,Squamata,Agamidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว (โซนสัตว์แปลก), สวนสัตว์เชียงใหม่",กิ้งก่าเคราจากออสเตรเลีย พองแผงใต้คอสีดำขู่ศัตรู เชื่องและเป็นมิตร
