id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
1,กบชะง่อนผาเขมร,Green Cascade Frog / Hose's Rock Frog,Odorrana hosii,Anura,Ranidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",ลำตัวสีเขียวเข้มแต้มจุดดำ ขายาวเพรียว อาศัยอยู่ตามโขดหินริมลำธารน้ำตกไหลเชี่ยว เกาะหินลื่นได้แน่นหนา
2,กบตาแดงอเมริกากลาง,Red-eyed Tree Frog,Agalychnis callidryas,Anura,Hylidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",ดวงตากลมโตสีแดงเพลิง ตัวสีเขียวสด ขาสีส้มและสีฟ้า ใช้สีสดลวงตาผู้ล่าในป่าดิบชื้นแอมะซอน
3,กบตาหนามฮอร์นฟร็อก / กบแพ็กแมน,Chacoan Horned Frog (Pacman Frog),Ceratophrys cranwelli,Anura,Ceratophryidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",ปากกว้างมากกลืนเหยื่อได้เกือบเท่าขนาดตัว เหนือตามีติ่งแหลมคล้ายเขา ซุ่มฝังตัวใต้ดินรอเหยื่อเดินผ่าน
4,กบทูด / กบภูเขาเบตง,Blyth's Giant Frog,Limnonectes blythii,Anura,Dicroglossidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์สงขลา, สถานีวิจัยสัตว์ป่าเขานัน นครศรีธรรมราช, สวนสัตว์เปิดเขาเขียว",กบพื้นเมืองขนาดใหญ่ที่สุดในไทย ตัวเมียหนักได้เกือบ 1 กก. อาศัยตามลำธารต้นน้ำป่าดิบชื้นภาคใต้
5,กบทูดใต้ / กบเขาสอยดาว,Big-headed Stream Frog,Limnonectes megastomias,Anura,Dicroglossidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สถานีเพาะเลี้ยงสัตว์ป่าเขาสอยดาว จันทบุรี, สวนสัตว์เปิดเขาเขียว",กบหัวโตเขี้ยวแหลม ตัวผู้มีหัวขนาดใหญ่และมีเขี้ยวฟันยื่นเด่นชัด กัดกินเหยื่อขนาดใหญ่และต่อสู้เพื่อแย่งชิงอาณาเขต
6,กบนา,East Asian Bullfrog,Hoplobatrachus rugulosus,Anura,Dicroglossidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",กบเศรษฐกิจและกบพื้นเมืองที่สำคัญของไทย ผิวหนังเป็นริ้วสันยาว กระโดดได้ไกลและว่ายน้ำรวดเร็ว
7,กบมอสเวียดนาม,Vietnamese Mossy Frog,Theloderma corticale,Anura,Rhacophoridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ผิวหนังขรุขระเต็มไปด้วยปุ่มหนามสีเขียวและน้ำตาล พรางตัวเข้ากับมอสและไลเคนตามโขดหินได้อย่างแนบเนียน
8,กบมะเขือเทศมาดากัสการ์,Madagascar Tomato Frog,Dyscophus antongilii,Anura,Microhylidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",ลำตัวป้อมกลมสีแดงสดอมส้มคล้ายผลมะเขือเทศสุก เมื่อถูกรบกวนจะพองตัวและขับสารเมือกเหนียวสีขาวปกป้องตัวเอง
9,กบลูกศรพิษเขียวดำ,Green and Black Poison Dart Frog,Dendrobates auratus,Anura,Dendrobatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),สวนสัตว์เปิดเขาเขียว,ลวดลายแต้มสีเขียวมรกตตัดกับสีดำขลับ เป็นกบที่มีความคล่องแคล่วและจัดแสดงในตู้ชื้นจำลองระบบนิเวศป่าฝน
10,กบลูกศรพิษย้อมสี,Dyeing Poison Dart Frog,Dendrobates tinctorius,Anura,Dendrobatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",หนึ่งในกบลูกศรพิษขนาดใหญ่ที่สุด มีลวดลายเหลืองสลับน้ำเงินเข้ม ชนพื้นเมืองเคยใช้ทาขนลูกนกแก้วให้เปลี่ยนสี
