id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
1,ไก่จุก,Roulroul (Crested Partridge),Rollulus rouloul,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",ไก่ป่าขนาดเล็ก ตัวผู้สีน้ำเงินเข้มมีหงอนพู่สีแดงสดพราวเสน่ห์ ตัวเมียสีเขียวมรกต
2,ไก่ป่าอินเดีย / ไก่ป่าไทย,Red Junglefowl,Gallus gallus,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",บรรพบุรุษดั้งเดิมของไก่บ้านทั่วโลก ตัวผู้ขนคอสีส้มทอง หงอนแดงเดี่ยว ขันเสียงก้อง
3,ไก่ฟ้าพญาลอ,Siamese Fireback,Lophura diardi,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่",นกประจำชาติไทย ตัวผู้มีหน้ากากสีแดงสด หงอนพู่สีดำ หลังสีทองสุกปลั่ง
4,ไก่ฟ้าเลดี้แอมเฮิร์สท์,Lady Amherst's Pheasant,Chrysolophus amherstiae,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว",หางยาวมากสีขาวสลับดำ แผงคอสีเงินลายดำ หัวสีเขียวมรกตแต้มแดง
5,ไก่ฟ้าสีทอง,Golden Pheasant,Chrysolophus pictus,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",'นกฟีนิกซ์ตัวจริง' ตัวผู้สีสันสดใส หงอนสีทอง แผงคอสีส้มลายดำ สวยงามมาก
6,ไก่ฟ้าหน้าเขียว,Crested Fireback,Lophura ignita,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",แผ่นหนังหน้าสีฟ้าครามสดใส หงอนพู่สีน้ำเงินเข้ม หลังมีแต้มสีเพลิงส้มทอง
7,ไก่ฟ้าหลังขาว,Silver Pheasant,Lophura nycthemera,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ตัวผู้ลำตัวด้านบนและหางสีขาวลายเส้นดำ ด้านล่างสีดำสนิท หน้ากากสีแดง
8,ไก่ฟ้าหางลายขวาง,Hume's Pheasant,Syrmaticus humiae,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เชียงใหม่, สถานีเพาะเลี้ยงสัตว์ป่าดอยเชียงดาว",ไก่ฟ้าภูเขาสูงภาคเหนือ หางยาวลายขวางสีเทาสลับน้ำตาล ลำตัวสีทองแดงเหลือบเงา
9,นกกก / นกกาฮัง,Great Hornbill,Buceros bicornis,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",นกเงือกขนาดใหญ่ที่สุดในไทย โหนกบนจะงอยปากสีเหลืองทอง เสียงบินกระพือปีกดังก้อง
10,นกกระจอกเทศ,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์, สวนสัตว์ขอนแก่น",นกขนาดใหญ่ที่สุดในโลก บินไม่ได้แต่วิ่งเร็วถึง 70 กม./ชม. ไข่ฟองใหญ่ที่สุด
11,นกกระตั้วกาล่า,Galah (Rose-breasted Cockatoo),Eolophus roseicapilla,Psittaciformes,Cacatuidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",อกและท้องสีชมพูกุหลาบ หลังและปีกสีเทาอ่อน สดใสน่ารักและมีชีวิตชีวา
12,นกกระตั้วดำ / ปาล์มคอกคาทู,Palm Cockatoo,Probosciger aterrimus,Psittaciformes,Cacatuidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",นกกระตั้วขนาดใหญ่ที่สุด ขนสีเทาดำสนิท หงอนยาว ปากยักษ์ทรงพลัง แก้มแดงเข้ม
13,นกกระตั้วมอลุกกะ,Moluccan Cockatoo,Cacatua moluccensis,Psittaciformes,Cacatuidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",ขนสีชมพูแซลมอน หงอนใหญ่สีส้มแดง เสียงร้องดังก้อง อารมณ์อ่อนไหว
14,นกกระตั้วหงอนเหลือง,Sulphur-crested Cockatoo,Cacatua galerita,Psittaciformes,Cacatuidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",นกสีขาวล้วน หงอนสีเหลืองกางออกได้ ฉลาดและชอบเต้นตามจังหวะเสียงดนตรี
15,นกกระเต็นน้อยธรรมดา,Common Kingfisher,Alcedo atthis,Coraciiformes,Alcedinidae,สัตว์ปีก (นก),สัตว์ประจำถิ่น / อพยพ,LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ตัวเล็กจิ๋ว หลังสีฟ้าเทอร์ควอยซ์ส่องประกาย ท้องสีส้ม เกาะกิ่งไม้จ้องจับปลาตัวเล็ก
16,นกกระเต็นใหญ่ธรรมดา,Stork-billed Kingfisher,Pelargopsis capensis,Coraciiformes,Alcedinidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",นกกระเต็นขนาดใหญ่ที่สุดในไทย ปากยักษ์สีแดงสด เสียงร้องดังก้องป่าชายเลนและริมน้ำ
17,นกกระเต็นอกขาว,White-throated Kingfisher,Halcyon smyrnensis,Coraciiformes,Alcedinidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่",จะงอยปากใหญ่สีแดงสด อกขาว ปีกสีฟ้าครามสดใส บินโฉบจับปลาและกิ้งก่า
18,นกกระแตแต้แว้ด,Red-wattled Lapwing,Vanellus indicus,Charadriiformes,Charadriidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",มีเหนียงสีแดงสดหน้าดวงตา ร้องเตือนภัยเสียงแหลมดัง 'แต้-แต้-แว้ด' เมื่อมีผู้บุกรุก
19,นกกระทาดงแข้งเขียว,Green-legged Partridge,Arborophila chloropus,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",นกกระทาป่าหากินตามพื้นป่า ขาสีเขียวมะกอก ร้องส่งเสียงดังก้องป่ายามเช้า
20,นกกระทาทุ่ง,Chinese Francolin,Francolinus pintadeanus,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ลายจุดสีขาวกระจายทั่วลำตัวสีดำ เสียงร้องก้องดังเป็นเอกลักษณ์ตามทุ่งหญ้า
