id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
1,กิ้งก่าคาเมเลียนแพนเธอร์,Panther Chameleon,Furcifer pardalis,Squamata,Chamaeleonidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",เปลี่ยนสีสันสดใสได้หลากหลายทั้งแดง ฟ้า เขียว ส้ม ตามอารมณ์และอุณหภูมิจากมาดากัสการ์
2,กิ้งก่าคาเมเลียนเยเมน,Veiled Chameleon,Chamaeleo calyptratus,Squamata,Chamaeleonidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",บนหัวมีหมวกทรงสูงขนาดใหญ่ ดวงตากลอกหมุนอิสระ 360 องศา ลิ้นยืดพุ่งจับแมลงได้ไกล
3,กิ้งก่าบาซิลิสก์ / กิ้งก่าพระเยซู,Plumed Basilisk,Basiliscus plumifrons,Squamata,Corytophanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",สีเขียวมรกต บนหัวและหลังมีหงอนสูง วิ่งสองขาบนผิวน้ำได้ไกลหลายเมตรเพื่อหนีศัตรู
4,กิ้งก่าบินปีกส้ม,Orange-winged Flying Lizard,Draco maculatus,Squamata,Agamidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",มีซี่โครงพิเศษกางออกเป็นพังผืดคล้ายปีก สามารถร่อนข้ามระหว่างต้นไม้ในป่าได้ไกลนับสิบเมตร
5,กิ้งก่าเบียร์ดดราก้อน,Bearded Dragon,Pogona vitticeps,Squamata,Agamidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว (โซนสัตว์แปลก), สวนสัตว์เชียงใหม่",กิ้งก่าเคราทะเลทรายออสเตรเลีย พองแผงคอสีดำเพื่อขู่ศัตรู เชื่องมากและเป็นสัตว์เลี้ยงยอดนิยม
6,กิ้งก่าฟริลเน็ค / กิ้งก่าแผงคอ,Frilled Lizard,Chlamydosaurus kingii,Squamata,Agamidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",กางแผงหนังรอบคอออกขนาดใหญ่เมื่อตกใจ อ้าปากสีเหลืองสดใส วิ่งสองขาหนีศัตรู
7,กิ้งก่ามอนิเตอร์ต้นไม้มรกต,Green Tree Monitor,Varanus prasinus,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",สีเขียวมรกตสดใส หางยาวม้วนเกาะกิ่งไม้ได้ อาศัยบนเรือนยอดไม้ในป่านิวกินี
8,กิ้งก่ามอนิเตอร์ต้นไม้สีดำ,Black Tree Monitor,Varanus beccarii,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",ขนสีดำสนิททั่วทั้งตัว หางเรียวยาวม้วนจับกิ่งไม้ ว่องไวและปราดเปรียวบนต้นไม้สูง
9,กิ้งก่าหัวสีฟ้า / กิ้งก่าดง,Blue-crested Lizard,Calotes mystaceus,Squamata,Agamidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่",ตัวผู้ในฤดูผสมพันธุ์ ส่วนหัว ลำคอ และลำตัวครึ่งหน้าจะเปลี่ยนเป็นสีฟ้าครามสดใสโดดเด่น
10,กิ้งก่าอีกัวน่าเขียว,Green Iguana,Iguana iguana,Squamata,Iguanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",กิ้งก่ากินพืชขนาดใหญ่จากอเมริกาใต้ แผงหนามบนสันหลังยาว ว่ายน้ำเก่งและดำน้ำได้นาน
